EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2009-07-05T09:00:30.000Z,2.63213,-0.00180063,-0.61969,2.48317
2009-07-05T09:01:30.000Z,3.16705,-1.208,1.33154,1.91617
2009-07-05T09:02:30.000Z,3.68854,-2.00745,2.42322,1.8212
2009-07-05T09:03:30.000Z,3.08104,0.267901,-1.13202,2.72456
2009-07-05T09:04:30.000Z,3.06507,0.434101,-1.30344,2.73574
2009-07-05T09:05:30.000Z,2.8043,0.400563,-1.06471,2.52745
2009-07-05T09:06:30.000Z,2.63625,-0.569303,-0.93673,2.30162
2009-07-05T09:07:30.000Z,2.90549,-1.52303,-0.52094,2.3333
2009-07-05T09:08:30.000Z,2.94685,-0.0348225,-1.12131,2.54452
2009-07-05T09:09:30.000Z,3.0159,0.259662,-1.67442,2.47291
2009-07-05T09:10:30.000Z,3.01649,0.717995,-0.919217,2.70685
2009-07-05T09:11:30.000Z,2.99267,0.641562,-1.09905,2.6709
2009-07-05T09:12:30.000Z,2.90275,0.842048,-1.4482,2.35306
2009-07-05T09:13:30.000Z,2.64971,1.1683,-1.66683,1.66982
2009-07-05T09:14:30.000Z,2.67776,1.3982,-2.08099,0.58154
2009-07-05T09:15:30.000Z,3.27631,0.113393,-2.21803,2.37066
2009-07-05T09:16:30.000Z,4.67244,0.118759,-3.41496,3.17831
2009-07-05T09:17:30.000Z,4.65672,0.107638,-3.5855,2.96108
2009-07-05T09:18:30.000Z,4.64741,0.223924,-3.73299,2.75141
2009-07-05T09:19:30.000Z,4.52486,0.441827,-3.57317,2.7374
2009-07-05T09:20:30.000Z,4.57411,0.0859007,-3.84307,2.46654
2009-07-05T09:21:30.000Z,4.48765,-0.0234784,-3.96989,2.08502
2009-07-05T09:22:30.000Z,4.45108,-0.0660571,-4.06056,1.81385
2009-07-05T09:23:30.000Z,4.44544,0.055255,-4.16426,1.54969
2009-07-05T09:24:30.000Z,4.43735,0.183294,-4.18908,1.38914
2009-07-05T09:25:30.000Z,4.54603,0.669465,-4.02763,1.99529
2009-07-05T09:26:30.000Z,4.37482,0.830881,-3.87844,1.83633
2009-07-05T09:27:30.000Z,4.4703,0.710916,-3.93356,1.99675
2009-07-05T09:28:30.000Z,4.5204,0.815065,-4.11648,1.65393
2009-07-05T09:29:30.000Z,4.51392,0.794388,-4.06938,1.70525
2009-07-05T09:30:30.000Z,4.30941,1.04378,-3.70701,1.87021
2009-07-05T09:31:30.000Z,4.6031,0.745879,-4.0119,1.85437
2009-07-05T09:32:30.000Z,4.62476,0.508892,-3.61567,2.8121
2009-07-05T09:33:30.000Z,4.6502,0.201566,-3.28233,3.07446
2009-07-05T09:34:30.000Z,4.58662,-1.77881,-0.71049,4.105
2009-07-05T09:35:30.000Z,4.33139,-0.0452837,-3.18782,2.91792
2009-07-05T09:36:30.000Z,4.26915,0.137961,-3.2461,2.76861
2009-07-05T09:37:30.000Z,4.32259,0.201102,-3.28847,2.7968
2009-07-05T09:38:30.000Z,4.39547,0.16738,-3.34552,2.84464
2009-07-05T09:39:30.000Z,4.4191,0.257183,-3.41364,2.79236
2009-07-05T09:40:30.000Z,4.4384,0.416402,-3.55207,2.61845
2009-07-05T09:41:30.000Z,4.37995,0.358905,-3.50411,2.59319
2009-07-05T09:42:30.000Z,4.41171,0.433063,-3.71387,2.28774
2009-07-05T09:43:30.000Z,4.8285,0.443125,-4.29466,2.10109
2009-07-05T09:44:30.000Z,4.9635,1.22669,-4.68715,1.03824
2009-07-05T09:45:30.000Z,5.0793,0.96132,-4.68778,1.69056
2009-07-05T09:46:30.000Z,5.00926,0.855886,-4.60172,1.76892
2009-07-05T09:47:30.000Z,5.01728,0.833414,-4.59269,1.83359
2009-07-05T09:48:30.000Z,4.88633,0.819281,-4.52946,1.6346
2009-07-05T09:49:30.000Z,5.00648,0.755647,-4.66752,1.62305
2009-07-05T09:50:30.000Z,4.92513,0.95416,-4.50471,1.7368
2009-07-05T09:51:30.000Z,4.92656,1.37411,-4.46147,1.56231
2009-07-05T09:52:30.000Z,4.98875,1.79487,-4.46541,1.28278
2009-07-05T09:53:30.000Z,5.00667,2.13509,-4.36843,1.18687
2009-07-05T09:54:30.000Z,4.9982,1.78655,-4.51757,1.17216
2009-07-05T09:55:30.000Z,4.93719,1.34016,-4.53147,1.39438
2009-07-05T09:56:30.000Z,4.85281,1.25651,-4.39423,1.61732
2009-07-05T09:57:30.000Z,4.84623,1.40192,-4.39003,1.48438
2009-07-05T09:58:30.000Z,4.86989,1.1222,-4.54923,1.31701
2009-07-05T09:59:30.000Z,4.84365,1.01688,-4.48179,1.51821
2009-07-05T10:00:30.000Z,4.8134,1.35789,-4.45454,1.19996
2009-07-05T10:01:30.000Z,4.81447,1.24905,-4.5303,1.03363
2009-07-05T10:02:30.000Z,4.80143,1.04321,-4.57634,1.00505
2009-07-05T10:03:30.000Z,4.43112,-0.306073,-2.85337,1.69538
2009-07-05T10:04:30.000Z,4.35028,-2.44825,-0.14899,3.58084
2009-07-05T10:05:30.000Z,4.52226,-2.3628,-0.0934795,3.828
2009-07-05T10:06:30.000Z,4.65355,-2.6315,-0.873908,3.71439
2009-07-05T10:07:30.000Z,4.24223,-2.58893,-1.58676,2.91081
2009-07-05T10:08:30.000Z,4.57926,-2.59832,-1.72768,3.34543
2009-07-05T10:09:30.000Z,4.60869,-2.2932,-1.74902,3.58904
2009-07-05T10:10:30.000Z,4.35248,-1.91887,-1.8073,3.40581
2009-07-05T10:11:30.000Z,4.26044,-1.23291,-1.15436,3.86108
2009-07-05T10:12:30.000Z,3.76024,-1.37077,-1.72954,2.9491
2009-07-05T10:13:30.000Z,3.69584,-1.46651,-1.93033,2.78363
2009-07-05T10:14:30.000Z,3.82002,-1.22428,-1.64467,3.2082
2009-07-05T10:15:30.000Z,3.80354,-1.01917,-1.08777,3.47889
2009-07-05T10:16:30.000Z,3.82644,-0.737289,-1.31231,3.50561
2009-07-05T10:17:30.000Z,3.9708,-1.04864,-1.61924,3.46773
2009-07-05T10:18:30.000Z,4.07754,-1.36716,-1.7584,3.40304
2009-07-05T10:19:30.000Z,3.98073,-1.73985,-1.77996,3.0926
2009-07-05T10:20:30.000Z,4.09691,-0.126514,0.14085,4.02669
2009-07-05T10:21:30.000Z,4.11687,-0.244556,-0.0804167,4.08723
2009-07-05T10:22:30.000Z,4.31648,-1.32408,-1.65217,3.65908
2009-07-05T10:23:30.000Z,4.66769,-1.7802,-3.17698,2.91129
2009-07-05T10:24:30.000Z,4.62814,-1.52316,-2.81243,3.33201
2009-07-05T10:25:30.000Z,4.65945,-1.51856,-2.82171,3.37897
2009-07-05T10:26:30.000Z,4.58502,-1.54131,-2.55082,3.47931
2009-07-05T10:27:30.000Z,4.57952,-1.47685,-2.52622,3.49374
2009-07-05T10:28:30.000Z,4.54151,-1.94117,-2.64418,3.13647
2009-07-05T10:29:30.000Z,4.47759,-1.7982,-2.69688,3.08097
2009-07-05T10:30:30.000Z,4.49264,-0.963696,-3.45124,2.42865
2009-07-05T10:31:30.000Z,4.39921,-0.418587,-4.22384,1.0753
2009-07-05T10:32:30.000Z,4.32865,-0.81305,-3.41789,2.01572
2009-07-05T10:33:30.000Z,4.50997,-1.02584,-2.64989,3.49887
2009-07-05T10:34:30.000Z,4.4574,-0.919438,-2.80312,3.24237
2009-07-05T10:35:30.000Z,4.36475,0.0344283,-4.11999,1.41657
2009-07-05T10:36:30.000Z,4.37233,-0.101503,-4.12964,1.42951
2009-07-05T10:37:30.000Z,4.40953,-0.235479,-4.15518,1.45183
2009-07-05T10:38:30.000Z,4.27254,-0.141048,-3.97345,1.55909
2009-07-05T10:39:30.000Z,4.29912,-0.210117,-3.96911,1.61712
2009-07-05T10:40:30.000Z,4.40479,-0.24019,-4.18691,1.31742
2009-07-05T10:41:30.000Z,4.26432,-0.112699,-3.61974,2.23871
2009-07-05T10:42:30.000Z,4.25284,-0.115506,-3.33064,2.63424
2009-07-05T10:43:30.000Z,4.16632,0.120677,-3.36587,2.41169
2009-07-05T10:44:30.000Z,4.09739,0.244554,-3.33842,2.34245
2009-07-05T10:45:30.000Z,4.14761,-0.0283374,-2.99891,2.84582
2009-07-05T10:46:30.000Z,4.15052,-0.776367,-1.65389,3.54278
2009-07-05T10:47:30.000Z,3.80325,-0.454013,-1.8672,2.96802
2009-07-05T10:48:30.000Z,3.59467,1.10806,-3.05113,-1.46632
2009-07-05T10:49:30.000Z,3.77882,1.5222,-3.0517,-1.62485
2009-07-05T10:50:30.000Z,3.1873,1.44367,-2.42169,-1.44724
2009-07-05T10:51:30.000Z,2.52445,-1.45963,-0.919895,1.3414
2009-07-05T10:52:30.000Z,2.93347,0.498163,-2.50549,-0.159626
2009-07-05T10:53:30.000Z,3.16897,1.29406,-2.77079,-0.811888
2009-07-05T10:54:30.000Z,3.27239,1.2411,-2.94974,-0.672024
2009-07-05T10:55:30.000Z,3.28287,1.07177,-3.07793,-0.232135
2009-07-05T10:56:30.000Z,3.49329,1.00817,-3.34063,0.00970501
2009-07-05T10:57:30.000Z,3.22685,1.0244,-3.04889,-0.225965
2009-07-05T10:58:30.000Z,2.83491,0.884245,-2.68385,-0.178164
2009-07-05T10:59:30.000Z,2.92286,0.892932,-2.78101,0.0431767
2009-07-05T11:00:30.000Z,3.04051,0.743652,-2.93864,0.131263
2009-07-05T11:01:30.000Z,3.2723,0.80517,-3.14936,0.348698
2009-07-05T11:02:30.000Z,3.19344,0.776915,-3.06052,0.474661
2009-07-05T11:03:30.000Z,3.30146,0.704242,-3.17881,0.529473
2009-07-05T11:04:30.000Z,3.37936,0.607989,-3.20041,0.882314
2009-07-05T11:05:30.000Z,3.41327,0.523826,-3.14588,1.20801
2009-07-05T11:06:30.000Z,3.44385,0.527316,-3.09406,1.40557
2009-07-05T11:07:30.000Z,3.30774,0.484895,-2.83273,1.6118
2009-07-05T11:08:30.000Z,3.38942,0.456948,-2.90108,1.67309
2009-07-05T11:09:30.000Z,3.75808,0.624484,-3.40118,1.46492
2009-07-05T11:10:30.000Z,3.90194,0.467786,-3.30925,1.99937
2009-07-05T11:11:30.000Z,3.77342,0.251711,-3.31519,1.76695
2009-07-05T11:12:30.000Z,3.99602,0.16541,-3.26627,2.28934
2009-07-05T11:13:30.000Z,3.92897,-0.136381,-2.32586,3.10197
2009-07-05T11:14:30.000Z,3.83865,-0.117407,-2.41008,2.96691
2009-07-05T11:15:30.000Z,3.9727,-0.0216349,-2.45106,3.1231
2009-07-05T11:16:30.000Z,3.92906,0.0239472,-2.22164,3.23835
2009-07-05T11:17:30.000Z,3.97932,0.0489297,-2.20631,3.30698
2009-07-05T11:18:30.000Z,3.65839,-0.280118,-1.37357,3.24056
2009-07-05T11:19:30.000Z,3.00447,-1.08865,1.21767,2.29653
2009-07-05T11:20:30.000Z,2.53714,-1.40354,1.64797,1.24721
2009-07-05T11:21:30.000Z,2.95603,-0.525653,0.0828816,2.76472
2009-07-05T11:22:30.000Z,2.98192,0.113357,-2.27208,1.64989
2009-07-05T11:23:30.000Z,3.27301,0.428423,-2.91456,1.07104
2009-07-05T11:24:30.000Z,3.40229,-0.319906,-1.60233,2.95786
2009-07-05T11:25:30.000Z,3.73901,0.346162,-2.31799,2.36258
2009-07-05T11:26:30.000Z,3.81652,1.67054,-3.17553,0.801883
2009-07-05T11:27:30.000Z,3.85444,1.99003,-2.98859,1.34946
2009-07-05T11:28:30.000Z,3.87193,1.85323,-2.64071,1.97565
2009-07-05T11:29:30.000Z,3.98302,1.41126,-3.16365,1.886
2009-07-05T11:30:30.000Z,4.00163,1.5325,-3.00081,2.1487
2009-07-05T11:31:30.000Z,4.04523,1.68073,-2.66356,2.51979
2009-07-05T11:32:30.000Z,4.0427,1.71492,-2.35639,2.78529
2009-07-05T11:33:30.000Z,4.08952,1.70882,-2.0817,3.01092
2009-07-05T11:34:30.000Z,4.08831,1.70236,-2.38047,2.84501
2009-07-05T11:35:30.000Z,4.10929,1.77496,-2.00973,3.10345
2009-07-05T11:36:30.000Z,4.13952,1.92441,-2.20125,2.91881
2009-07-05T11:37:30.000Z,4.23879,1.56917,-2.07556,3.32715
2009-07-05T11:38:30.000Z,4.247,1.15126,-2.44758,3.26981
2009-07-05T11:39:30.000Z,4.15608,1.74321,-2.07936,3.12265
2009-07-05T11:40:30.000Z,4.09473,1.83428,-2.12934,2.96847
2009-07-05T11:41:30.000Z,4.11401,2.10614,-2.2047,2.75798
2009-07-05T11:42:30.000Z,4.05074,2.06141,-2.39284,2.51432
2009-07-05T11:43:30.000Z,4.21921,1.4599,-2.51481,3.0519
2009-07-05T11:44:30.000Z,4.11979,1.53296,-2.54355,2.85197
2009-07-05T11:45:30.000Z,3.98953,1.46424,-2.41382,2.81573
2009-07-05T11:46:30.000Z,3.82517,1.4452,-2.4309,2.48931
2009-07-05T11:47:30.000Z,3.9012,1.47039,-2.18793,2.87049
2009-07-05T11:48:30.000Z,3.82129,1.72242,-2.24826,2.54594
2009-07-05T11:49:30.000Z,3.91384,1.95874,-2.331,2.43946
2009-07-05T11:50:30.000Z,3.92219,2.04077,-2.5943,2.08745
2009-07-05T11:51:30.000Z,3.76436,1.92817,-2.88022,1.44854
2009-07-05T11:52:30.000Z,3.89028,2.23844,-2.83711,1.42919
2009-07-05T11:53:30.000Z,3.90653,2.25374,-3.04028,0.915519
2009-07-05T11:54:30.000Z,4.15638,0.0859998,-1.92842,3.63536
2009-07-05T11:55:30.000Z,4.21356,0.161339,-1.9512,3.72971
2009-07-05T11:56:30.000Z,4.12145,0.0969247,-1.86651,3.67098
2009-07-05T11:57:30.000Z,4.14543,-0.0896732,-1.86529,3.69994
2009-07-05T11:58:30.000Z,4.20835,-0.101147,-1.78035,3.80789
2009-07-05T11:59:30.000Z,3.85469,-0.31994,-2.06758,2.99214
2009-07-05T12:00:30.000Z,3.73045,-0.828249,-2.9217,1.93444
2009-07-05T12:01:30.000Z,3.62288,-1.15913,-3.13563,1.38449
2009-07-05T12:02:30.000Z,3.97526,-1.18912,-2.42315,2.79294
2009-07-05T12:03:30.000Z,4.25316,-1.33285,-2.24834,3.34812
2009-07-05T12:04:30.000Z,4.22115,-1.09005,-1.80895,3.64259
2009-07-05T12:05:30.000Z,4.31281,-0.816172,-1.40524,3.96362
2009-07-05T12:06:30.000Z,4.31131,-0.843694,-1.17999,4.05171
2009-07-05T12:07:30.000Z,4.0819,-0.630544,-0.97972,3.89745
