UT_yyyy-mm-ddThh:mm:ss.sssZ,T_ION_FULL_ESA-B_eV
2009-07-05T09:00:22.637Z,NaN
2009-07-05T09:01:57.610Z,NaN
2009-07-05T09:03:32.583Z,NaN
2009-07-05T09:05:07.556Z,NaN
2009-07-05T09:06:42.530Z,NaN
2009-07-05T09:08:17.503Z,NaN
2009-07-05T09:09:52.476Z,NaN
2009-07-05T09:11:27.449Z,NaN
2009-07-05T09:13:02.423Z,NaN
2009-07-05T09:14:37.396Z,NaN
2009-07-05T09:16:12.369Z,NaN
2009-07-05T09:17:47.342Z,NaN
2009-07-05T09:19:22.315Z,2365.5840
2009-07-05T09:20:57.288Z,NaN
2009-07-05T09:22:32.262Z,2532.6277
2009-07-05T09:24:07.235Z,2410.7725
2009-07-05T09:25:42.208Z,2626.6694
2009-07-05T09:27:17.181Z,2426.3528
2009-07-05T09:28:52.154Z,NaN
2009-07-05T09:30:27.127Z,NaN
2009-07-05T09:32:02.100Z,NaN
2009-07-05T09:33:37.074Z,NaN
2009-07-05T09:35:12.047Z,NaN
2009-07-05T09:36:47.020Z,NaN
2009-07-05T09:38:21.993Z,NaN
2009-07-05T09:39:56.966Z,NaN
2009-07-05T09:41:31.939Z,NaN
2009-07-05T09:43:06.912Z,NaN
2009-07-05T09:44:41.885Z,2333.9402
2009-07-05T09:46:16.858Z,NaN
2009-07-05T09:47:51.832Z,2562.2615
2009-07-05T09:49:26.805Z,2788.3840
2009-07-05T09:51:01.778Z,2721.8457
2009-07-05T09:52:36.751Z,2880.1907
2009-07-05T09:54:11.724Z,2975.6990
2009-07-05T09:55:46.697Z,2725.1306
2009-07-05T09:57:21.670Z,2570.9424
2009-07-05T09:58:56.643Z,2489.2126
2009-07-05T10:00:31.616Z,2775.8613
2009-07-05T10:02:06.589Z,NaN
2009-07-05T10:03:41.562Z,2587.6973
2009-07-05T10:05:16.535Z,2544.2036
2009-07-05T10:06:51.508Z,2613.0366
2009-07-05T10:08:26.481Z,2847.9209
2009-07-05T10:10:01.454Z,2455.2087
2009-07-05T10:11:36.427Z,2545.4788
2009-07-05T10:13:11.400Z,NaN
2009-07-05T10:14:46.373Z,NaN
2009-07-05T10:16:21.346Z,NaN
2009-07-05T10:17:56.319Z,NaN
2009-07-05T10:19:31.292Z,2312.3220
2009-07-05T10:21:06.265Z,2826.7454
2009-07-05T10:22:41.238Z,2685.3518
2009-07-05T10:24:16.211Z,2854.9998
2009-07-05T10:25:51.184Z,3128.0110
2009-07-05T10:27:26.157Z,2341.3640
2009-07-05T10:29:01.130Z,2804.4678
2009-07-05T10:30:36.103Z,2220.7341
2009-07-05T10:32:11.076Z,2461.6135
2009-07-05T10:33:46.049Z,2892.1726
2009-07-05T10:35:21.022Z,2713.3665
2009-07-05T10:36:55.995Z,2599.8386
2009-07-05T10:38:30.968Z,2703.6311
2009-07-05T10:40:05.941Z,2168.7468
2009-07-05T10:41:40.914Z,2252.5322
2009-07-05T10:43:15.887Z,2250.4189
2009-07-05T10:44:50.860Z,2358.2417
2009-07-05T10:46:25.833Z,2119.6392
2009-07-05T10:48:00.806Z,NaN
2009-07-05T10:49:35.779Z,2178.3066
2009-07-05T10:51:10.752Z,2304.5588
2009-07-05T10:52:45.725Z,NaN
2009-07-05T10:54:20.698Z,NaN
2009-07-05T10:55:55.671Z,NaN
2009-07-05T10:57:30.643Z,NaN
2009-07-05T10:59:05.616Z,NaN
2009-07-05T11:00:40.589Z,NaN
2009-07-05T11:02:15.562Z,NaN
2009-07-05T11:03:50.535Z,NaN
2009-07-05T11:05:25.508Z,NaN
2009-07-05T11:07:00.481Z,NaN
2009-07-05T11:08:35.454Z,NaN
2009-07-05T11:10:10.427Z,NaN
2009-07-05T11:11:45.400Z,NaN
2009-07-05T11:13:20.373Z,1111.6322
2009-07-05T11:14:55.346Z,2161.6267
2009-07-05T11:16:30.318Z,1323.9703
2009-07-05T11:18:05.291Z,1547.7953
2009-07-05T11:19:40.264Z,160.60219
2009-07-05T11:21:15.237Z,177.82539
2009-07-05T11:22:50.210Z,1332.7523
2009-07-05T11:24:25.183Z,191.19963
2009-07-05T11:26:00.156Z,174.47227
2009-07-05T11:27:35.129Z,125.00546
2009-07-05T11:29:10.102Z,123.06555
2009-07-05T11:30:45.074Z,124.53902
2009-07-05T11:32:20.047Z,106.16795
2009-07-05T11:33:55.020Z,125.27070
2009-07-05T11:35:29.993Z,118.11520
2009-07-05T11:37:04.966Z,127.88855
2009-07-05T11:38:39.939Z,117.03967
2009-07-05T11:40:14.912Z,134.52161
2009-07-05T11:41:49.885Z,129.61934
2009-07-05T11:43:24.857Z,131.20247
2009-07-05T11:44:59.830Z,197.56435
2009-07-05T11:46:34.803Z,132.24936
2009-07-05T11:48:09.776Z,153.83025
2009-07-05T11:49:44.749Z,153.41185
2009-07-05T11:51:19.722Z,148.29260
2009-07-05T11:52:54.695Z,150.91731
2009-07-05T11:54:29.668Z,139.25557
2009-07-05T11:56:04.640Z,154.51743
2009-07-05T11:57:39.613Z,162.64337
2009-07-05T11:59:14.586Z,155.14320
2009-07-05T12:00:49.559Z,156.86101
2009-07-05T12:02:24.532Z,150.97133
2009-07-05T12:03:59.505Z,155.91232
2009-07-05T12:05:34.478Z,151.03920
2009-07-05T12:07:09.450Z,166.45854
2009-07-05T12:08:44.423Z,173.01366
2009-07-05T12:10:19.396Z,186.17082
2009-07-05T12:11:54.369Z,176.34737
2009-07-05T12:13:29.342Z,181.44283
2009-07-05T12:15:04.315Z,172.82758
2009-07-05T12:16:39.288Z,181.10503
2009-07-05T12:18:14.261Z,180.80559
2009-07-05T12:19:49.233Z,176.98627
2009-07-05T12:21:24.206Z,181.29895
2009-07-05T12:22:59.179Z,184.07532
2009-07-05T12:24:34.152Z,170.72644
2009-07-05T12:26:09.125Z,173.10500
2009-07-05T12:27:44.098Z,180.06877
2009-07-05T12:29:19.071Z,172.46893
2009-07-05T12:30:54.043Z,180.89575
2009-07-05T12:32:29.016Z,177.40131
2009-07-05T12:34:03.989Z,163.55324
2009-07-05T12:35:38.962Z,188.18306
2009-07-05T12:37:13.935Z,182.19640
2009-07-05T12:38:48.908Z,185.07890
2009-07-05T12:40:23.880Z,190.28563
2009-07-05T12:42:58.211Z,171.83112
2009-07-05T12:50:14.493Z,188.85283
2009-07-05T12:56:34.384Z,172.65388
2009-07-05T13:02:54.275Z,182.19411
2009-07-05T13:09:14.167Z,165.53883
2009-07-05T13:15:34.058Z,185.09319
2009-07-05T13:21:53.949Z,143.13506
2009-07-05T13:28:13.840Z,181.38843
2009-07-05T13:34:33.732Z,170.27135
2009-07-05T13:40:53.623Z,167.36908
2009-07-05T13:47:13.514Z,94.289482
2009-07-05T13:53:33.405Z,210.45442
2009-07-05T13:59:53.296Z,85.036499
2009-07-05T14:06:13.187Z,25.796396
2009-07-05T14:12:33.079Z,142.44055
2009-07-05T14:18:52.970Z,190.30885
2009-07-05T14:25:12.861Z,24.942327
2009-07-05T14:31:32.752Z,23.873734
2009-07-05T14:37:52.643Z,24.052032
2009-07-05T14:44:12.535Z,42.915279
2009-07-05T14:50:32.426Z,23.303595
2009-07-05T14:56:52.317Z,23.787079
2009-07-05T15:03:12.208Z,21.945793
2009-07-05T15:09:32.099Z,20.778444
2009-07-05T15:15:51.991Z,23.996460
2009-07-05T15:22:11.882Z,21.983885
2009-07-05T15:28:31.773Z,21.062986
2009-07-05T15:34:51.664Z,26.172373
2009-07-05T15:41:11.555Z,22.075922
2009-07-05T15:47:31.446Z,29.387888
2009-07-05T15:53:51.337Z,26.654402
2009-07-05T16:00:11.228Z,25.436693
2009-07-05T16:06:31.119Z,22.691010
2009-07-05T16:12:51.010Z,22.608725
2009-07-05T16:19:10.902Z,18.325993
2009-07-05T16:25:30.793Z,18.751955
2009-07-05T16:31:50.684Z,16.732252
2009-07-05T16:38:10.575Z,16.841581
2009-07-05T16:44:30.466Z,16.491938
2009-07-05T16:50:50.357Z,17.632229
2009-07-05T16:57:10.248Z,17.907820
2009-07-05T17:03:30.140Z,20.506994
2009-07-05T17:09:50.031Z,18.480574
2009-07-05T17:16:09.922Z,19.078051
2009-07-05T17:22:29.813Z,18.018408
2009-07-05T17:28:49.704Z,17.798277
2009-07-05T17:35:09.596Z,18.861809
2009-07-05T17:41:29.487Z,18.411215
2009-07-05T17:47:49.378Z,17.237955
2009-07-05T17:54:09.269Z,18.375931
2009-07-05T18:00:29.160Z,15.465854
2009-07-05T18:06:49.051Z,18.199472
2009-07-05T18:13:08.942Z,17.152317
2009-07-05T18:19:28.833Z,17.279736
2009-07-05T18:25:48.724Z,16.846815
2009-07-05T18:32:08.615Z,18.595901
2009-07-05T18:38:28.506Z,18.370420
2009-07-05T18:44:48.397Z,NaN
2009-07-05T18:51:08.288Z,17.487780
2009-07-05T18:57:28.179Z,17.174133
2009-07-05T19:03:48.070Z,19.898123
2009-07-05T19:10:07.962Z,17.898577
2009-07-05T19:16:27.853Z,19.880590
2009-07-05T19:22:47.744Z,20.513792
2009-07-05T19:29:07.635Z,21.418127
2009-07-05T19:35:27.526Z,19.585932
2009-07-05T19:41:47.417Z,NaN
2009-07-05T19:48:07.309Z,NaN
2009-07-05T19:54:27.200Z,17.148968
2009-07-05T20:00:47.091Z,NaN
2009-07-05T20:07:06.982Z,NaN
2009-07-05T20:13:26.873Z,NaN
2009-07-05T20:19:46.764Z,NaN
2009-07-05T20:26:06.655Z,18.731287
2009-07-05T20:32:26.546Z,NaN
2009-07-05T20:38:46.437Z,NaN
2009-07-05T20:45:06.328Z,NaN
2009-07-05T20:51:26.219Z,23.486139
2009-07-05T20:57:46.111Z,19.817314
2009-07-05T21:04:06.002Z,26.241211
2009-07-05T21:10:25.893Z,27.361670
2009-07-05T21:16:45.784Z,17.440588
2009-07-05T21:23:05.675Z,18.087608
2009-07-05T21:29:25.566Z,19.387323
2009-07-05T21:35:45.457Z,19.521360
2009-07-05T21:42:05.348Z,19.514215
2009-07-05T21:48:25.239Z,19.219610
2009-07-05T21:54:45.131Z,19.072088
2009-07-05T22:01:05.022Z,21.020353
2009-07-05T22:07:24.913Z,18.503628
2009-07-05T22:13:44.804Z,20.575018
2009-07-05T22:20:04.695Z,20.564104
2009-07-05T22:26:24.586Z,20.676979
2009-07-05T22:32:44.478Z,19.143244
2009-07-05T22:39:04.369Z,19.094885
2009-07-05T22:45:24.260Z,17.692057
2009-07-05T22:51:44.151Z,17.648596
2009-07-05T22:58:04.042Z,19.152912
2009-07-05T23:04:23.933Z,19.622396
2009-07-05T23:10:43.824Z,19.276520
2009-07-05T23:17:03.716Z,19.995283
2009-07-05T23:23:23.607Z,20.875776
2009-07-05T23:29:43.498Z,18.178185
2009-07-05T23:36:03.389Z,23.257421
