EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,SW_VTH__km/s,ION_NP__#/cc,VX_(GSM)_(@_x_)_km/s,VY_(GSM)_(@_y_)_km/s,VZ_(GSM)_(@_z_)_km/s
2009-07-05T09:01:24.173Z,376.08,759.89,-354.65,178.83,666.09
2009-07-05T09:03:02.111Z,359.29,621.70,-354.70,436.23,-257.47
2009-07-05T09:04:33.929Z,370.25,644.12,-353.16,-808.72,305.00
2009-07-05T09:06:17.992Z,400.28,716.11,-355.00,111.38,417.41
2009-07-05T09:07:59.128Z,308.72,616.92,-361.43,487.48,-134.88
2009-07-05T09:09:18.562Z,366.71,646.78,-354.07,-616.55,270.46
2009-07-05T09:11:08.746Z,418.37,672.47,-351.35,907.13,290.81
2009-07-05T09:12:46.683Z,405.33,643.14,-353.59,401.56,-767.24
2009-07-05T09:14:21.558Z,370.72,655.95,-350.58,-525.42,-928.27
2009-07-05T09:15:55.046Z,289.43,546.38,-355.32,114.06,-241.01
2009-07-05T09:17:37.437Z,276.90,508.11,-356.01,157.67,-368.54
2009-07-05T09:19:12.316Z,277.07,520.64,-353.81,193.34,-597.36
2009-07-05T09:20:56.374Z,297.24,559.05,-355.41,-251.51,-863.10
2009-07-05T09:22:28.191Z,293.34,573.81,-356.42,-123.23,-590.39
2009-07-05T09:24:06.128Z,280.63,553.39,-354.23,-295.36,-113.94
2009-07-05T09:25:44.066Z,283.55,566.16,-348.66,-249.01,-483.59
2009-07-05T09:27:28.128Z,289.53,528.95,-349.50,-205.90,-674.79
2009-07-05T09:29:06.066Z,297.46,554.48,-349.97,-129.16,-946.04
2009-07-05T09:30:40.941Z,289.89,589.51,-349.63,147.03,-114.58
2009-07-05T09:32:14.292Z,287.24,553.10,-346.25,-542.29,-322.78
2009-07-05T09:33:56.820Z,255.77,450.30,-355.63,267.98,-230.70
2009-07-05T09:35:37.820Z,294.68,576.48,-350.10,-723.54,-953.82
2009-07-05T09:37:15.757Z,297.83,590.95,-349.15,-699.25,-258.37
2009-07-05T09:38:53.695Z,299.42,580.71,-350.01,-674.65,-323.23
2009-07-05T09:40:31.636Z,293.08,572.24,-349.68,-625.90,-256.70
2009-07-05T09:42:09.574Z,293.56,603.00,-349.83,-761.96,-244.93
2009-07-05T09:43:44.449Z,290.95,530.45,-346.23,-649.20,-309.87
2009-07-05T09:45:25.449Z,268.45,453.15,-353.39,-388.98,-259.96
2009-07-05T09:46:57.265Z,286.95,491.84,-349.35,-422.38,-636.50
2009-07-05T09:48:33.675Z,281.17,506.48,-350.16,-503.70,-713.66
2009-07-05T09:50:16.203Z,272.29,472.49,-351.51,-376.90,-541.17
2009-07-05T09:51:57.203Z,288.24,495.53,-352.47,-436.79,-666.21
2009-07-05T09:53:29.019Z,269.17,456.65,-355.43,-689.93,-573.43
2009-07-05T09:55:06.960Z,277.84,475.63,-352.94,247.94,-617.18
2009-07-05T09:56:51.019Z,277.53,490.99,-349.18,191.26,-852.01
2009-07-05T09:58:28.957Z,276.60,474.03,-347.67,213.20,-906.46
2009-07-05T10:00:03.832Z,293.89,501.63,-347.38,-136.01,-101.59
2009-07-05T10:01:44.835Z,272.57,474.86,-350.44,-108.59,-114.43
2009-07-05T10:03:25.832Z,298.18,726.09,-356.60,784.71,-797.15
2009-07-05T10:04:53.058Z,334.92,567.18,-344.74,-121.34,-762.65
2009-07-05T10:06:35.585Z,297.68,493.41,-345.62,-662.45,-136.57
2009-07-05T10:08:16.585Z,313.34,526.47,-344.84,-407.28,791.02
2009-07-05T10:09:54.527Z,292.02,540.04,-346.74,229.82,-335.18
2009-07-05T10:11:32.464Z,300.74,587.60,-351.13,219.48,-723.87
2009-07-05T10:13:10.402Z,313.32,575.63,-353.04,-153.18,-716.99
2009-07-05T10:14:48.339Z,307.75,612.62,-353.43,265.58,-600.23
2009-07-05T10:16:20.160Z,306.94,613.25,-352.55,218.54,-819.70
2009-07-05T10:18:04.218Z,322.87,598.47,-354.48,-998.30,-685.21
2009-07-05T10:19:36.035Z,329.07,599.59,-352.28,224.81,-472.51
2009-07-05T10:21:12.441Z,314.73,609.98,-347.67,412.35,-244.26
2009-07-05T10:22:54.972Z,294.81,526.00,-352.55,228.76,-363.50
2009-07-05T10:24:32.910Z,292.88,525.46,-352.92,267.88,-698.61
2009-07-05T10:26:10.851Z,289.94,531.36,-353.20,238.55,-406.71
2009-07-05T10:29:20.605Z,282.22,548.46,-353.75,-111.69,-235.26
2009-07-05T10:30:58.542Z,293.32,525.27,-355.33,426.18,-546.78
2009-07-05T10:32:36.480Z,293.31,576.73,-354.70,728.48,-256.69
2009-07-05T10:34:14.421Z,290.36,561.08,-354.06,158.49,-396.34
2009-07-05T10:35:52.359Z,275.75,565.41,-357.21,165.50,291.77
2009-07-05T10:37:28.906Z,301.74,596.33,-354.69,140.54,117.18
2009-07-05T10:39:11.296Z,283.38,612.30,-356.04,-805.40,178.39
2009-07-05T10:40:46.996Z,301.08,570.58,-356.29,789.22,179.53
2009-07-05T10:42:30.234Z,302.66,589.94,-357.25,592.39,120.54
2009-07-05T10:44:02.050Z,312.32,606.12,-357.79,793.89,-227.09
2009-07-05T10:45:40.027Z,312.85,624.63,-359.14,317.07,-162.20
2009-07-05T10:47:17.929Z,320.90,573.60,-350.71,-129.01,-111.63
2009-07-05T10:49:03.515Z,308.05,630.03,-357.46,135.35,222.17
2009-07-05T10:50:33.804Z,332.96,689.04,-356.60,718.41,-103.03
2009-07-05T10:52:11.742Z,397.10,931.50,-348.54,272.86,-730.63
2009-07-05T10:53:46.621Z,327.56,707.66,-355.37,11.61,-770.13
2009-07-05T10:55:27.617Z,314.96,672.31,-358.64,962.52,-747.66
2009-07-05T10:57:02.499Z,325.00,702.74,-355.97,11.23,-994.20
2009-07-05T10:58:40.437Z,335.44,740.16,-357.91,133.59,-544.64
2009-07-05T11:00:18.375Z,329.97,702.16,-356.70,134.53,-884.48
2009-07-05T11:01:56.312Z,329.55,679.21,-357.71,145.85,-753.27
2009-07-05T11:03:34.253Z,321.25,670.58,-357.34,140.80,-611.32
2009-07-05T11:05:12.191Z,325.81,682.42,-357.44,150.24,-643.55
2009-07-05T11:06:50.128Z,317.55,679.03,-356.77,144.00,-536.65
2009-07-05T11:08:28.066Z,322.50,656.41,-356.72,131.37,-677.64
2009-07-05T11:10:07.535Z,317.12,632.66,-357.48,137.68,-446.83
2009-07-05T11:11:47.003Z,296.22,619.99,-354.94,147.35,-511.97
2009-07-05T11:13:21.882Z,306.45,629.25,-354.57,148.52,-602.66
2009-07-05T11:15:05.945Z,309.42,606.18,-354.75,12.20,-744.15
2009-07-05T11:16:43.882Z,325.99,616.75,-354.93,130.17,-511.32
2009-07-05T11:18:17.226Z,276.32,596.82,-354.21,909.14,-632.65
2009-07-05T11:19:53.636Z,338.17,647.50,-349.13,-412.14,669.40
2009-07-05T11:21:37.734Z,343.94,710.81,-356.11,10.04,-237.25
2009-07-05T11:23:16.457Z,291.33,716.25,-360.32,12.86,704.14
2009-07-05T11:24:48.273Z,302.98,692.10,-358.73,775.12,362.73
2009-07-05T11:26:25.531Z,296.52,663.88,-356.26,271.24,245.17
2009-07-05T11:28:07.214Z,289.01,618.57,-359.98,431.83,415.00
2009-07-05T11:29:42.089Z,301.09,608.45,-360.50,799.59,244.24
2009-07-05T11:31:20.027Z,308.02,648.60,-361.48,547.21,970.58
